grain_id,area_pixels,equivalent_diameter_pixels,major_axis_pixels,minor_axis_pixels,aspect_ratio,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,area_mm2,equivalent_diameter_mm,major_axis_mm,minor_axis_mm,phi,classification
6,361.5,21.45404613171514,29.52618408203125,19.487537384033203,1.5151316197716727,4.466446018777788,0.14910745434463024,4.242784837260842,0.013555223122239113,0.4473223630338907,0.27110446244478226,0.06642348475725157,0.29081438219020966,0.40023401318023843,0.264157917343546,1.7818294755562247,Medium_Sand
12,423.5,23.221045351046136,30.84650421142578,20.897655487060547,1.4760748750272672,9.902090490795672,0.1694402890279889,9.678429309278727,0.013555223122239113,0.4473223630338907,0.3117701318114996,0.07781561768933898,0.31476645086506366,0.4181312471269649,0.2832723828587902,1.6676463143656843,Medium_Sand
15,188.5,15.492115871712882,39.251502990722656,30.456907272338867,1.2887553762351664,17.10669158026576,0.10166417341679335,16.916918456554413,0.013555223122239113,0.37954624742269516,0.17621790058910847,0.03463575899513671,0.20999908727665,0.5320628809224814,0.4128501736899004,2.2515450373974515,Fine_Sand
22,654.0,28.856518540128786,39.275352478027344,30.99085807800293,1.2673205878705465,13.528112675994635,0.2507716277614236,13.216342544183135,0.013555223122239113,0.6235402636229992,0.47443280927836895,0.12016862802556716,0.39115654734247535,0.5323861660442475,0.4200879959969761,1.3541819812827427,Medium_Sand
23,652.5,28.823407205597565,93.89801025390625,35.418094635009766,2.651131045346826,3.897126647643745,0.21010595839470625,3.4159162268042564,0.013555223122239113,0.962420841678977,0.3931014705449343,0.11989301190624246,0.39070771581502955,1.2728084797259953,0.48010017534213745,1.3558383483031604,Medium_Sand
24,461.0,24.22732816723524,49.68153762817383,19.656885147094727,2.527436939087815,8.343239831738174,0.14232984278351068,7.970471195876598,0.013555223122239113,0.7455372717231512,0.25754923932254314,0.08470602067245636,0.32840683896258205,0.6734443276058144,0.266453464057097,1.6064439238171149,Medium_Sand
25,778909.0,995.8603017241529,1160.6407470703125,957.3063354492188,1.212402659516171,15.310624516569078,7.319820486009121,6.953829461708665,0.013555223122239113,16.713590109720826,14.612530525773764,143.11991725805274,13.499108588451257,15.732744291300378,12.976500973347243,-3.754792237164847,Medium_Gravel
26,261.5,18.246976213834582,31.123891830444336,16.01293182373047,1.9436722876893837,24.873834429308772,0.1084417849779129,24.643395636230707,0.013555223122239113,0.46087758615612984,0.18977312371134758,0.048049076802271884,0.24734183388471764,0.4218912981941081,0.21705886371186978,2.015421825908313,Fine_Sand
27,327.0,20.404639941160397,40.416751861572266,17.499958038330078,2.309534215627697,1.6537372209131718,0.14232984278351068,1.3961879815906286,0.013555223122239113,0.5150984786450863,0.25754923932254314,0.06008431401278358,0.27658944713138117,0.5478580893597851,0.2372158358393861,1.8541819812827425,Medium_Sand
28,766.0,31.229817342839755,76.68140411376953,27.438371658325195,2.794677653201891,3.009259533137083,0.2168835699558258,2.4806058313697577,0.013555223122239113,1.0573074035346508,0.4066566936671734,0.1407479649351444,0.4233271421489655,1.0394335420887302,0.37193324993952004,1.2401551030693052,Medium_Sand
29,259.0,18.159544104586082,24.2847957611084,20.287090301513672,1.197056620746468,7.048716023564339,0.12199700810015202,6.87249812297523,0.013555223122239113,0.35243580117821693,0.2168835699558258,0.04758971660339739,0.24615667213580622,0.32918582501983096,0.274996035538031,2.022351250188507,Fine_Sand
30,168.5,14.647213499088313,18.765363693237305,14.662667274475098,1.2798056003019462,24.59595235530287,0.12877461966127157,24.4671777356416,0.013555223122239113,0.25754923932254314,0.23043879307806492,0.030960877404140774,0.19854624709921476,0.25436869183179667,0.1987557264726636,2.332453003440855,Fine_Sand
31,255.5,18.03642713177513,24.38032341003418,19.86871337890625,1.2270710712409647,4.73077286966145,0.14910745434463024,4.568110192194581,0.013555223122239113,0.3253253549337387,0.27110446244478226,0.0469466123249731,0.24448779409921914,0.33048072361536285,0.2693248430028916,2.032165653562973,Fine_Sand
32,315.5,20.042631473036266,44.20838165283203,19.03722381591797,2.322207380672134,25.849810494109988,0.17621790058910847,25.68714781664312,0.013555223122239113,0.3253253549337387,0.3253253549337387,0.057971257097960915,0.27168234157381854,0.5992544771772401,0.25805381645277237,1.8800072965405092,Medium_Sand
33,149.5,13.796713809378915,16.945425033569336,15.381339073181152,1.101687242765184,12.274254537187517,0.14910745434463024,12.159035140648484,0.027110446244478226,0.23043879307806492,0.24399401620030403,0.027469739892694633,0.18701753403980872,0.22969901723120856,0.20849748305578508,2.4187545569327313,Fine_Sand
34,767.5,31.260379885475437,60.522674560546875,28.230810165405273,2.143851848598835,21.810354003682733,0.2033283468335867,21.335921194404364,0.013555223122239113,0.9488656185567379,0.37954624742269516,0.1410235810544691,0.42374142423357514,0.8203983576228779,0.38267493071364456,1.238743923903013,Medium_Sand
35,459.0,24.17471718621419,28.203454971313477,26.64931869506836,1.0583180491039241,4.961211662739515,0.2168835699558258,4.73077286966145,0.013555223122239113,0.46087758615612984,0.4066566936671734,0.08433853251335677,0.32769368537616184,0.3823041249541781,0.3612374609673097,1.6095802223248799,Medium_Sand
36,879.5,33.4636247228924,49.480018615722656,35.57487487792969,1.3908697862046335,19.939733212813735,0.23721640463918447,19.56018696539104,0.013555223122239113,0.7590924948453903,0.4473223630338907,0.16160291796404636,0.45360689959768347,0.6707126924286655,0.48222536651607584,1.1404855102958034,Medium_Sand
